label	sentence
0	PRIVACY POLICY TERMS OF USE
0	Reports+ is a followers analytics application for Instagram? account holders with the features of unfollow detection, blockers detection, detection of profile interactions and such
0	This privacy policy describes how Reports+ collects and uses the information you provide
0	By using our Service you understand and agree that we are providing a analytics for Instagram?
0	This means we use your content, preferences and personal information you make available through the Service, consistent with the terms and conditions of this privacy policy and our terms of use applies to all users, and others who access to our services.
1	We may collect the your location based data, personal information and share your information of the account, profile information, user content, preferences, product and content interets, comminication and marketing preferences, usage activity, purchase history, content you viewed, the apps you visited, device information and operating system.
0	We may ask advertisers or other partners to serve ads or services to your devices, which may use cookies or similar technologies placed by us or the third party.
0	We use third-party analytics tools to help us measure traffic and usage trends for the Service
0	These tools collect information sent by your device or our Service, including the web pages you visit, add-ons, and other information that assists us in improving the Service.
0	Log file information is automatically reported by your browser each time you make a request to access a web page or app
0	It can also be provided when the content of the webpage or app is downloaded to your browser or device
0	We may also collect similar information from emails sent to our Users which then help us track which emails are opened and which links are clicked by recipients
4	The information allows for more accurate reporting and improvement of the Service.
0	When you use a mobile device like a tablet or phone to access our Service, we may access, collect, monitor, store on your device, and/or remotely store one or more device identifiers.
0	Use of your information
4	In addition to some of the specific uses of information we describe in this Privacy Policy, we may use information that we receive to help you efficiently access your information after you sign in, remember information so you will not have to re-enter it during your visit or the next time you visit the Service; provide personalized content and information to you and others, which could include online ads or other forms of marketing; develop and test new products and features; monitor metrics such as total number of visitors, traffic, and demographic patterns; diagnose or fix technology problems; automatically update the application on your device. Reports+ or other Users may run contests, special offers or other events or activities on the Service.
0	 provide personalized content and information to you and others, which could include online ads or other forms of marketing; develop and test new products and features; monitor metrics such as total number of visitors, traffic, and demographic patterns; diagnose or fix technology problems; automatically update the application on your device
0	Reports+ or other Users may run contests, special offers or other events or activities on the Service.
0	Sharing of your information
0	We may share your information as well as information from tools like cookies, log files, and device identifiers and location data, with third-party organizations that help us provide the Service to you
0	Our Service Providers will be given access to your information as is reasonably necessary to provide the Service under reasonable confidentiality terms
0	We may share user content and your information with businesses that are legally part of the same group of companies that Reports+ is part of, or that become part of that group
0	Affiliats may use this information to help provide, understand, and improve the Service and Affiliates' own services.
0	We may share certain information such as cookie data with third-party advertising partners
0	This information would allow third-party ad networks to, among other things
0	We may remove parts of data that can identify you and share anonymized data with other parties
0	We may also combine your information with other information in a way that it is no longer associated with you and share that aggregated information.
0	We may disclose your personal information:as required by law, such as to comply legal process
0	When we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request.If Reports+ is involved in a merger, acquisition, or sale of all or a portion of its assets, you will be notified via email and/or a prominent notice on our Web site of any change in ownership or uses of your personal information, as well as any choices you may have regarding your personal information
0	to any other third party with your prior consent to do so; tracking and ads
0	We reserve the right to partner with a third party ad network to either display advertising on our App or to manage our advertising on other sites
0	Our ad network partner would use technologies to collect non-personally identifiable information about your activities on this and other Apps to provide you targeted advertising based upon your interests
0	If we sell or otherwise transfer part or the whole of Reports+ or our assets to another organization, your information such as name and email address, User Content and any other information collected through the Service may be among the items sold or transferred
0	You will continue to own your User Content
0	The buyer or transferee will have to honor the commitments we have made in this Privacy Policy.
0	We may access, preserve and share your information in response to a legal request if we have a good faith belief that the law requires us to do so
0	This may include responding to legal requests from jurisdictions outside of the Turkey where we have a good faith belief that the response is required by law in that jurisdiction, affects users in that jurisdiction, and is consistent with internationally recognized standards
0	We may also access, preserve and share information when we have a good faith belief it is necessary to: detect, prevent and address fraud and other illegal activity; to protect ourselves, you and others, including as part of investigations; and to prevent death or imminent bodily harm
0	Information we receive about you may be accessed, processed and retained for an extended period of time when it is the subject of a legal request or obligation, governmental investigation, or investigations concerning possible violations of our terms or policies, or otherwise to prevent harm.
0	How we store your information
0	Your information collected through the Service may be stored and processed in the Turkey or any other country in which Reports+, its Affiliates or Service Providers maintain facilities
0	Reports+, its Affiliates, or Service Providers may transfer information that we collect about you, including personal information across borders and from your country or jurisdiction to other countries or jurisdictions around the world.
0	By registering for and using the Service you consent to the transfer of information to any other country in which Reports+, its Affiliates or Service Providers maintain facilities and the use and disclosure of information about you as described in this Privacy Policy.
0	We use commercially reasonable safeguards to help keep the information collected through the Service secure and take reasonable steps to verify your identity before granting you access to your account
0	However, Reports+ cannot ensure the security of any information you transmit to Reports+ or guarantee that information on the Service may not be accessed, disclosed, altered, or destroyed.
0	Please do your part to help us
0	You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to emails between you and Reports+, at all times
0	Your privacy settings may also be affected by changes the social media services you connect to Reports+< make to their services
0	We are not responsible for the functionality, privacy, or security measures of any other organization.
0	Your choices about your information
0	Update your account at any time by logging in and changing your profile settings
0	Unsubscribe from email communications from us by clicking on the unsubscribe link provided in such communications
0	As noted above, you may not opt out of Service-related communications (e.g., account verification, purchase and billing confirmations and reminders, changes/updates to features of the Service, technical and security notices).
0	Following termination or deactivation of your account, Reports+, its Affiliates, or its Service Providers may retain information (including your profile information) and User Content for a commercially reasonable time for backup, archival, and/or audit purposes.
0	Other web sites and services
0	We are not responsible for the practices employed by any websites or services linked to or from our Service, including the information or content contained within them
0	We are not responsible and do not have control over any third-parties that you authorize to access your User Content.
0	Your (hereinafter referred to as ※You§ or ※Your§) privacy is top priority of Free Puzzle Games Team (hereinafter referred to as the ※team§, ※we§, ※us§ or ※our§)
0	We appreciate that you put your trust in us when you provide us with your information and we do not take this lightly.
0	This Privacy Policy explains how we treat your information and protects your privacy when you use our mobile software (the ※Software§) and related services (the ※Services§ ), and the rights and options available to you regarding your information
0	We believe that you have a right to know our practices regarding the information we may collect and use when you use the Software and the Services
0	The Software and the Services may include various features and content that are offered and delivered to you by us and/or by third parties, such as news, messages, advertisements and games, as well as features and content that you may choose to add.
0	By downloading and installing our Software and the Service voluntarily, you agree that we can collect, transfer, store, disclose and use your information as described in this Policy
0	The Software is a global app, and your information will be sent to various users regardless of the country you reside in, and by downloading our Software you consent to such transfer
0	So please read this Policy very carefully.
0	IF YOU DO NOT AGREE TO THE TERMS AND CONDITIONS SET FORTH HEREIN, PLEASE DO NOT USE THE SOFTWARE & THE SERVICE.
0	Information We Collects and Use
0	For the purposes of European data protection laws, the team is the data controller of your personal information.
0	When you use the Software and the Services, for analytical, business and operational purposes, we automatically collect and store the following information:
1	Certain technical information regarding your device, and your use of the Software and the Services, including the type, name and version of operating system and other software including, without limitation: (i) ISP (Internet Service Provider), Internet protocol (IP) address, Media Access Control (MAC) address, anonymous user identifiers, device configuration and identifiers; (ii) Advertising ID (Identifier for Advertisers used in Android, such as Google advertising ID (GAID)); (iii) location; (iv) Android ID.
4	The purposes of the technical information are (i) to operate and update the Software and the Services and provide you with existing and new functionality and features; (ii) to improve and customize the Software and the Services; (iii) to provide you personalized content, including through the delivery of targeted interest-based advertisements from us or our partners; (iv) to maintain and improve the quality and operation of the Software and the Services; and/or (v) to notify you of Software and Services updates.
0	We access Android ID only to analysis and provide you personalized content
